Super Class,Link
Acetylides,https://cb.imsc.res.in/imppat/phytochemical-searchsupclass/Acetylides
Alkaloids and derivatives,https://cb.imsc.res.in/imppat/phytochemical-searchsupclass/Alkaloids%20and%20derivatives
Allenes,https://cb.imsc.res.in/imppat/phytochemical-searchsupclass/Allenes
Benzenoids,https://cb.imsc.res.in/imppat/phytochemical-searchsupclass/Benzenoids
Hydrocarbon derivatives,https://cb.imsc.res.in/imppat/phytochemical-searchsupclass/Hydrocarbon%20derivatives
Hydrocarbons,https://cb.imsc.res.in/imppat/phytochemical-searchsupclass/Hydrocarbons
"Lignans, neolignans and related compounds","https://cb.imsc.res.in/imppat/phytochemical-searchsupclass/Lignans,%20neolignans%20and%20related%20compounds"
Lipids and lipid-like molecules,https://cb.imsc.res.in/imppat/phytochemical-searchsupclass/Lipids%20and%20lipid-like%20molecules
"Nucleosides, nucleotides, and analogues","https://cb.imsc.res.in/imppat/phytochemical-searchsupclass/Nucleosides,%20nucleotides,%20and%20analogues"
"Organic 1,3-dipolar compounds","https://cb.imsc.res.in/imppat/phytochemical-searchsupclass/Organic%201,3-dipolar%20compounds"
Organic acids and derivatives,https://cb.imsc.res.in/imppat/phytochemical-searchsupclass/Organic%20acids%20and%20derivatives
Organic nitrogen compounds,https://cb.imsc.res.in/imppat/phytochemical-searchsupclass/Organic%20nitrogen%20compounds
Organic oxygen compounds,https://cb.imsc.res.in/imppat/phytochemical-searchsupclass/Organic%20oxygen%20compounds
Organic Polymers,https://cb.imsc.res.in/imppat/phytochemical-searchsupclass/Organic%20Polymers
Organohalogen compounds,https://cb.imsc.res.in/imppat/phytochemical-searchsupclass/Organohalogen%20compounds
Organoheterocyclic compounds,https://cb.imsc.res.in/imppat/phytochemical-searchsupclass/Organoheterocyclic%20compounds
Organometallic compounds,https://cb.imsc.res.in/imppat/phytochemical-searchsupclass/Organometallic%20compounds
Organophosphorus compounds,https://cb.imsc.res.in/imppat/phytochemical-searchsupclass/Organophosphorus%20compounds
Organosulfur compounds,https://cb.imsc.res.in/imppat/phytochemical-searchsupclass/Organosulfur%20compounds
Phenylpropanoids and polyketides,https://cb.imsc.res.in/imppat/phytochemical-searchsupclass/Phenylpropanoids%20and%20polyketides
